ID,Classification 1,Classification 2,Resolution,match,Final Classification
TRANSFORMATION_75,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_76,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_77,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_78,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_79,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_80,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_81,FALSE,TRUE_NEW,TRUE_NEW,TRUE,TRUE_NEW
TRANSFORMATION_82,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_83,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_84,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_85,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_86,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_87,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_88,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_89,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_90,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_91,TRUE_NEW,TRUE_NEW,,TRUE,TRUE_NEW
TRANSFORMATION_92,TRUE_NEW_OVER,TRUE_NEW_OVER,,TRUE,TRUE_NEW_OVER
TRANSFORMATION_93,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_94,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_95,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_96,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_97,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_98,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_99,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_100,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_101,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_102,FALSE,FALSE,,TRUE,FALSE
TRANSFORMATION_103,TRUE,TRUE_UNDER,TRUE_UNDER,TRUE,TRUE_UNDER
